pdbid ligid similarity
2PRH 238 0.956
7K2U VU7 0.942
6CJG F51 0.821
6CJF F54 0.803
4JTU JTU 0.752
4IGH 1EA 0.719
2B0M 201 0.492
2WV8 VGN 0.489
6VND R4P 0.485
3F1Q BCE 0.465
3G0X MD7 0.458
3FJ6 CIH 0.458
3G0U MDY 0.455
3FJL CJH 0.455
5MVC Y9B 0.451
4ZMG 4R5 0.451
3W7R W7A 0.451
5MUT HYT 0.448
4ZL1 18X 0.448
2FPV ILC 0.448
5MVD U91 0.444
3U2O 03U 0.444
4YLW 52Y 0.441
6FMD DUH 0.438
2BXV 3FT 0.438
6JME BVU 0.435
6J3C B5X 0.435
6J3B B5O 0.435
2FPY ILF 0.435
2FPT ILB 0.435
6LP7 B6R 0.432
6JMD BVO 0.432
6LP8 B6O 0.429
6LP6 B6U 0.429
2FQI ILH 0.429
5H73 7L7 0.273
5HQE 64B 0.269
4LS0 B3B 0.269
3KVL 7Z5 0.267
4LS1 3X2 0.265
3KVM 951 0.265
3KVJ 1X5 0.265
6M2B EZO 0.263
4RLI 3SH 0.263
4LS2 3XS 0.263
4OQV 2V6 0.259
6ET4 SDV 0.257
4RK8 3RV 0.257
6SYP M0B 0.255
6OC0 M4J 0.246
6QU7 JJE 0.245
6OC1 1SU 0.238
4JTS JTS 0.236
1D3H A26 0.236
5H2Z 7GF 0.234
4JTT JTT 0.234
4JS3 JS3 0.234
4JGD 4JG 0.234
6LZL AYR 0.233
3ZWS AVQ 0.233
3KVK 6X1 0.233
3ZWT KFZ 0.231
5ZF7 CHW 0.227
5ZF4 9BL 0.226
2PRL R2C 0.226
6IDJ 9AU 0.222
5ZF9 9BR 0.222
5ZF8 9BO 0.222
4RKA 3RY 0.222
5ZFA 9BU 0.221
5ZFB 9BX 0.219
5K9C MLJ 0.219
5K9D FNR 0.216
6GK0 F1W 0.214
5HIN 1KL 0.214
4RR4 3V1 0.211
