model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../11_seletopclusts/cluster_1_model_1.pdb	-	1	-129.298	3.878	0.333	6.369	6.873	0.368	3.456	5	1	1	54.718	216.338	35.740	1586.200	0.000	0.000	0.000	-11.352	1285.440	-420.635	44.826	0.000	0.000	0.000	-405.207	-39.291	0.000	0.000
../../11_seletopclusts/cluster_6_model_1.pdb	-	2	-128.661	1.069	0.806	1.892	1.857	0.807	0.998	21	6	1	10.938	244.169	37.191	1553.370	0.000	0.000	0.000	-18.811	1288.800	-378.329	48.781	0.000	0.000	0.000	-402.670	-35.278	0.000	0.000
../../11_seletopclusts/cluster_2_model_1.pdb	-	3	-128.437	1.032	0.778	2.539	1.853	0.791	1.101	1	2	1	11.211	224.092	40.265	1552.190	0.000	0.000	0.000	-14.831	1288.080	-365.639	51.814	0.000	0.000	0.000	-396.027	-41.599	0.000	0.000
../../11_seletopclusts/cluster_2_model_2.pdb	-	4	-127.785	1.005	0.833	2.361	1.979	0.817	1.054	1	2	2	22.976	222.124	39.437	1480.860	0.000	0.000	0.000	-8.128	1292.160	-474.477	46.031	0.000	0.000	0.000	-478.561	-27.059	0.000	0.000
../../11_seletopclusts/cluster_2_model_3.pdb	-	5	-127.436	0.914	0.833	2.105	1.539	0.835	1.007	1	2	3	11.754	218.776	38.321	1576.920	0.000	0.000	0.000	-19.319	1299.260	-297.472	48.349	0.000	0.000	0.000	-335.517	-49.799	0.000	0.000
../../11_seletopclusts/cluster_1_model_2.pdb	-	6	-127.377	3.751	0.250	5.942	6.468	0.353	3.355	5	1	2	6.792	204.688	35.774	1609.450	0.000	0.000	0.000	-4.176	1294.490	-463.265	41.892	0.000	0.000	0.000	-487.700	-31.227	0.000	0.000
../../11_seletopclusts/cluster_1_model_3.pdb	-	7	-126.837	0.921	0.861	1.742	1.635	0.849	0.936	5	1	3	11.531	224.736	37.611	1548.240	0.000	0.000	0.000	-14.458	1295.750	-367.300	45.824	0.000	0.000	0.000	-395.841	-40.072	0.000	0.000
../../11_seletopclusts/cluster_6_model_2.pdb	-	8	-122.668	1.185	0.833	2.938	2.428	0.781	1.234	21	6	2	7.414	243.677	37.258	1448.540	0.000	0.000	0.000	-14.188	1293.530	-389.936	50.274	0.000	0.000	0.000	-413.756	-31.234	0.000	0.000
../../11_seletopclusts/cluster_3_model_1.pdb	-	9	-119.267	10.526	0.083	18.032	17.541	0.095	10.161	12	3	1	6.534	210.885	36.221	1767.200	0.000	0.000	0.000	-8.553	1292.020	-296.655	43.574	0.000	0.000	0.000	-342.158	-52.036	0.000	0.000
../../11_seletopclusts/cluster_5_model_1.pdb	-	10	-118.422	10.337	0.083	17.012	17.070	0.101	10.124	4	5	1	1.299	216.816	37.855	1625.020	0.000	0.000	0.000	-2.249	1294.420	-396.305	47.455	0.000	0.000	0.000	-432.049	-37.042	0.000	0.000
../../11_seletopclusts/cluster_1_model_4.pdb	-	11	-117.925	3.795	0.333	6.270	6.746	0.372	3.397	5	1	4	55.150	226.698	37.367	1540.380	0.000	0.000	0.000	-8.070	1303.200	-451.087	47.772	0.000	0.000	0.000	-421.089	-25.152	0.000	0.000
../../11_seletopclusts/cluster_4_model_1.pdb	-	12	-116.216	7.462	0.194	13.557	13.692	0.172	7.391	8	4	1	88.117	224.663	37.309	1627.170	0.000	0.000	0.000	-14.089	1306.970	-385.614	47.937	0.000	0.000	0.000	-331.313	-33.815	0.000	0.000
../../11_seletopclusts/cluster_3_model_2.pdb	-	13	-114.576	10.631	0.056	18.506	17.817	0.083	10.227	12	3	2	14.913	215.858	38.848	1807.110	0.000	0.000	0.000	-11.491	1302.760	-314.021	45.584	0.000	0.000	0.000	-340.880	-41.772	0.000	0.000
../../11_seletopclusts/cluster_4_model_2.pdb	-	14	-112.969	4.773	0.278	8.643	8.432	0.286	4.819	8	4	2	41.084	218.465	38.966	1591.470	0.000	0.000	0.000	-2.909	1299.510	-389.836	45.610	0.000	0.000	0.000	-384.953	-36.200	0.000	0.000
../../11_seletopclusts/cluster_4_model_3.pdb	-	15	-111.536	6.309	0.222	11.750	11.033	0.206	6.453	8	4	3	12.079	229.530	39.624	1521.240	0.000	0.000	0.000	-0.135	1313.190	-436.605	44.412	0.000	0.000	0.000	-449.815	-25.288	0.000	0.000
../../11_seletopclusts/cluster_3_model_3.pdb	-	16	-111.528	10.552	0.056	18.376	17.664	0.084	10.219	12	3	3	36.259	214.562	36.783	1716.740	0.000	0.000	0.000	-8.818	1280.410	-329.583	45.435	0.000	0.000	0.000	-333.742	-40.419	0.000	0.000
../../11_seletopclusts/cluster_3_model_4.pdb	-	17	-110.382	10.576	0.056	18.218	17.570	0.085	10.174	12	3	4	41.291	226.582	39.254	1767.490	0.000	0.000	0.000	-3.833	1301.930	-317.677	46.923	0.000	0.000	0.000	-323.529	-47.143	0.000	0.000
../../11_seletopclusts/cluster_2_model_4.pdb	-	18	-109.118	0.973	0.778	1.730	1.740	0.814	0.971	1	2	4	9.842	236.878	40.222	1438.220	0.000	0.000	0.000	-14.003	1299.230	-285.876	45.721	0.000	0.000	0.000	-314.957	-38.923	0.000	0.000
../../11_seletopclusts/cluster_2_model_5.pdb	-	19	-109.079	0.872	0.861	1.724	1.385	0.856	0.927	1	2	5	38.666	214.501	35.651	1509.700	0.000	0.000	0.000	-18.925	1295.000	-250.359	45.757	0.000	0.000	0.000	-255.642	-43.949	0.000	0.000
../../11_seletopclusts/cluster_13_model_1.pdb	-	20	-108.166	3.158	0.472	10.142	7.457	0.356	3.643	14	13	1	3.297	213.703	38.114	1589.670	0.000	0.000	0.000	-5.160	1295.640	-326.381	45.334	0.000	0.000	0.000	-361.144	-38.060	0.000	0.000
../../11_seletopclusts/cluster_5_model_2.pdb	-	21	-108.105	10.637	0.083	17.430	17.173	0.098	10.354	4	5	2	38.345	208.824	36.284	1580.500	0.000	0.000	0.000	-10.755	1302.770	-310.546	43.904	0.000	0.000	0.000	-311.275	-39.075	0.000	0.000
../../11_seletopclusts/cluster_9_model_1.pdb	-	22	-106.553	10.738	0.111	19.349	17.366	0.097	11.081	18	9	1	33.242	225.940	36.215	1420.320	0.000	0.000	0.000	-17.441	1298.450	-278.623	45.957	0.000	0.000	0.000	-282.093	-36.712	0.000	0.000
../../11_seletopclusts/cluster_8_model_1.pdb	-	23	-106.325	9.139	0.083	15.450	16.314	0.114	8.393	10	8	1	10.021	219.465	36.060	1379.420	0.000	0.000	0.000	-7.451	1293.620	-289.846	46.670	0.000	0.000	0.000	-321.732	-41.906	0.000	0.000
../../11_seletopclusts/cluster_2_model_6.pdb	-	24	-105.640	3.028	0.333	9.184	7.659	0.331	2.932	1	2	6	25.289	235.664	38.919	1452.310	0.000	0.000	0.000	-15.413	1326.660	-295.196	48.865	0.000	0.000	0.000	-303.624	-33.717	0.000	0.000
../../11_seletopclusts/cluster_7_model_1.pdb	-	25	-105.124	8.788	0.167	16.201	15.514	0.137	9.269	2	7	1	6.519	221.465	39.703	1435.030	0.000	0.000	0.000	-11.597	1307.000	-343.357	44.568	0.000	0.000	0.000	-362.346	-25.508	0.000	0.000
../../11_seletopclusts/cluster_3_model_5.pdb	-	26	-104.633	10.415	0.028	18.027	17.259	0.077	10.204	12	3	5	5.012	214.755	37.378	1550.340	0.000	0.000	0.000	-5.200	1301.440	-306.231	44.275	0.000	0.000	0.000	-339.907	-38.688	0.000	0.000
